卫视频道,#genre#
重庆卫视,http://120.76.248.139/live/bfgd/4200000107.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000058.m3u8
海南卫视,http://218.13.170.98:9901/tsfile/live/1020_1.m3u8
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8
辽宁卫视,http://113.57.93.165:9900/tsfile/live/0121_1.m3u8
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
广东卫视,http://120.76.248.139/live/bfgd/4200000092.m3u8
湖北卫视,http://218.13.170.98:9901/tsfile/live/1007_1.m3u8
黑龙江卫视,http://183.11.239.36:808/hls/48/index.m3u8
山西卫视,http://120.76.248.139/live/bfgd/4200000109.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000058.m3u8
广东卫视,http://218.13.170.98:9901/tsfile/live/0017_1.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
四川卫视,http://183.11.239.36:808/hls/50/index.m3u8
宁夏卫视,http://58.19.43.46:9901/tsfile/live/1003_1.m3u8
湖北卫视,http://211.142.224.62:2023
湖南卫视,http://120.76.248.139/live/otvgd/25.m3u8
安徽卫视,http://153.0.171.163:9901/tsfile/live/0130_1.m3u8
山东卫视,http://live.dxhmt.cn:9081/tv/11521-1.m3u8
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
山西卫视,http://125.210.152.10:8060/live/SXWS.m3u8
湖南卫视,http://113.57.93.165:9900/tsfile/live/0128_1.m3u8
湖南卫视,http://211.142.224.62:2023
内蒙古卫视,http://183.11.239.36:808/hls/60/index.m3u8
山东卫视,http://153.0.171.163:9901/tsfile/live/0131_1.m3u8
江苏卫视,http://116.9.204.242:9901/tsfile/live/0127_1.m3u8
湖北卫视,http://120.76.248.139/live/bfgd/4200000102.m3u8
河南卫视,http://120.76.248.139/live/bfgd/4200000339.m3u8
广东卫视,http://113.57.93.165:9900/tsfile/live/0125_1.m3u8
宁夏卫视,http://218.13.170.98:9901/tsfile/live/0112_1.m3u8
广西卫视,http://153.0.171.163:9901/tsfile/live/0113_1.m3u8
四川卫视,http://120.76.248.139/live/otvgd/31.m3u8
浙江卫视,http://111.14.181.15:9901/tsfile/live/0124_1.m3u8
湖北卫视,http://113.57.93.165:9900/tsfile/live/0132_1.m3u8
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8
四川卫视,http://58.19.43.46:9901/tsfile/live/1043_1.m3u8
黑龙江卫视,http://123.129.70.178:9901/tsfile/live/0143_1.m3u8
天津卫视,http://218.13.170.98:9901/tsfile/live/1008_1.m3u8
内蒙古卫视,http://153.0.171.163:9901/tsfile/live/0109_1.m3u8
宁夏卫视,http://113.57.93.165:9900/tsfile/live/1003_1.m3u8
重庆卫视,http://222.186.39.21:35466/nptv/chongqing.m3u8
广西卫视,http://116.9.204.242:9901/tsfile/live/0113_1.m3u8
河南卫视,http://113.57.93.165:9900/tsfile/live/1006_1.m3u8
江苏卫视,http://61.136.172.236:9901/tsfile/live/0127_1.m3u8
陕西卫视,http://218.13.170.98:9901/tsfile/live/0136_1.m3u8
甘肃卫视,http://58.57.40.22:9901/tsfile/live/1056_1.m3u8
康巴卫视,http://111.202.12.159:8080/kYGHWzA/1000/live.m3u8
河北卫视,http://120.76.248.139/live/bfgd/4200000108.m3u8
深圳卫视,http://123.129.70.178:9901/tsfile/live/0126_1.m3u8
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8
广东卫视,http://211.142.224.62:2023
重庆卫视,http://123.129.70.178:9901/tsfile/live/0142_1.m3u8
甘肃卫视,http://218.13.170.98:9901/tsfile/live/0141_1.m3u8
海南卫视,http://123.129.70.178:9901/tsfile/live/0114_1.m3u8
东南卫视,http://61.136.172.236:9901/tsfile/live/0137_1.m3u8
山东卫视,http://218.13.170.98:9901/tsfile/live/1009_1.m3u8
